"","tried_influence","attend_rally","work_party","wear_button","give_money_party","campaign_participation","discuss","give_money_campaign","volunteer","community_work","community_meeting","vote_in_primary","trust_others","satisfied_life","understand_issues","too_complicated","age","hisp","empl","own_home","married","class_conscious","PARTY_ID","better_off_econ1","STATEFIPS","money_stocks","born_again","college","black","female","inc_firstthird","inc_upperthird","lgbt","middleclass","jewish","catholic","protestant","nonreligious","knowl","str_PARTY","agesq","Consistency","Extremity","ideo_ext","ideo_label","ideo_score","Position","year","respondent","unique_id","wt1","wt2","wt3","complete_pre","complete_post","census_region","Action_Score"
"3",1,1,1,1,1,0,0,0,2,1,0,2,0,0,1,1,60,0,6,0,0,1,"7",5,"28",0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,3600,0.443077478786152,0.730243573853133,0,"moderate",-2.64943952801657,-0.730243573853133,"2008",111,20080111,0.3483,0.3483,0.3483,1,1,"4",10
"4",1,1,1,1,1,0,0,0,2,0,0,2,1,1,1,0,68,0,5,1,1,1,"7",3,"9",1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,4624,0.531730929000942,0.190685006527061,0,"moderate",2.01132276573564,0.190685006527061,"2008",1113,20081113,1.1925,1.1925,1.1925,1,1,"2",9
"5",1,1,1,1,1,0,1,0,2,0,0,2,0,0,0,0,44,0,1,1,1,1,"4",4,"36",1,2,1,0,1,0,1,0,1,0,1,0,0,0,0,1936,0.485230390011162,1.28605935790821,0,"moderate",-5.46238865760789,-1.28605935790821,"2016",3591,20163591,1.532,1.532,1.532,1,1,"2",10
"6",0,1,1,1,1,1,0,0,2,0,0,2,0,1,0,1,51,1,7,1,1,1,"2",4,"4",0,2,1,0,1,0,0,0,0,0,1,0,0,1,1,2601,0.565682687628162,1.02707768517862,0,"moderate",6.24425411619959,1.02707768517862,"2016",3592,20163592,1.528,1.528,1.528,1,1,"2",9
"7",0,1,1,1,1,1,1,0,2,0,0,2,1,1,0,1,73,0,5,1,1,1,"4",4,"17",1,1,0,0,0,0,0,0,1,0,0,1,0,1,0,5329,0.616280847144243,0.616823171612535,0,"moderate",4.16798152741635,0.616823171612535,"2016",3593,20163593,0.669,0.669,0.669,1,1,"1",10
"8",1,1,1,1,1,0,1,0,1,0,0,2,1,1,1,0,60,0,7,1,1,0,"1",1,"45",0,1,0,1,1,0,0,0,1,0,0,1,0,1,1,3600,0.656526722580464,0.354581115896489,0,"moderate",-0.74823518218144,-0.354581115896489,"2016",3594,20163594,0.869,0.869,0.869,1,1,"3",9
"9",1,1,1,1,1,0,0,0,2,0,0,2,0,1,1,0,63,0,5,1,0,1,"1",4,"42",0,1,0,1,1,1,0,0,0,0,0,1,0,1,1,3969,0.494901998665494,0.992801180549452,0,"moderate",-3.97822725303519,-0.992801180549452,"2016",3595,20163595,0.92,0.92,0.92,1,1,"3",9
"11",0,1,1,1,1,1,1,0,2,1,0,1,1,1,1,0,49,0,1,0,1,0,"7",3,"29",0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,2401,0.409687916772734,0.735967373327254,0,"moderate",-2.6784073213225,-0.735967373327254,"2016",3597,20163597,1.226,1.226,1.226,1,1,"3",10
"12",0,1,1,1,0,2,0,1,2,0,1,1,1,1,0,0,73,0,5,0,1,1,"4",2,"42",1,2,1,1,0,0,1,0,0,0,1,0,0,1,0,5329,0.45721781521,1.33422634991337,1,"right",7.79871441384946,1.33422634991337,"2016",3598,20163598,1.389,1.389,1.389,1,1,"1",10
"13",1,1,1,1,1,0,1,0,2,0,0,2,1,1,0,0,23,0,8,0,0,0,"1",1,"42",1,2,1,1,1,1,0,0,1,0,0,1,0,1,1,529,0.588070979714485,0.538798792111707,0,"moderate",3.77310499331993,0.538798792111707,"2016",3599,20163599,0.768,0.768,0.768,1,1,"1",10
"15",1,1,1,1,0,1,1,0,1,1,1,2,1,0,0,0,28,0,7,1,0,0,"4",4,"22",0,1,0,0,1,1,0,0,1,0,0,1,0,0,0,784,0.409779033076314,0.130833594222818,0,"moderate",1.70841848885863,0.130833594222818,"2008",1114,20081114,2.4612,2.4612,2.4612,1,1,"2",11
"17",0,1,1,1,1,1,1,0,1,0,0,2,1,1,0,0,59,0,5,1,1,1,"4",2,"55",1,2,1,0,1,0,1,0,1,0,1,0,0,1,0,3481,0.485919402573305,0.536552814915009,0,"moderate",-1.66918263824302,-0.536552814915009,"2016",3603,20163603,0.742,0.742,0.742,1,1,"3",9
"18",0,1,1,0,1,2,1,0,1,0,0,1,0,1,0,0,36,0,1,0,0,1,"1",5,"17",0,1,0,1,1,1,0,0,0,0,0,1,0,0,1,1296,0.488553621554094,0.197706701092768,0,"moderate",0.0456964786969509,-0.197706701092768,"2016",3604,20163604,2.102,2.102,2.102,1,1,"3",8
"19",1,1,1,1,1,0,1,0,2,0,0,2,0,1,1,1,53,0,2,1,0,0,"1",2,"6",0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,2809,0.458615199111846,1.15586331156482,0,"moderate",6.89603016509824,1.15586331156482,"2016",3605,20163605,3.364,3.364,3.364,1,1,"2",10
"20",1,1,1,1,1,0,1,0,2,0,0,2,1,1,1,1,28,0,1,1,1,1,"2",2,"39",0,2,1,0,0,0,1,0,1,0,0,1,0,1,1,784,0.501477099979188,1.25374803006046,0,"moderate",-5.29886303607523,-1.25374803006046,"2016",3606,20163606,0.685,0.685,0.685,1,1,"1",10
"22",1,1,1,1,0,1,1,1,2,1,0,2,1,0,0,0,52,1,6,1,1,1,"1",4,"6",0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,2704,0.411803287835924,2.12556695534918,1,"right",11.8036400225298,2.12556695534918,"2016",3608,20163608,0.524,0.524,0.524,1,1,"3",12
"23",0,1,1,1,1,1,1,0,1,1,1,2,1,1,1,1,29,0,1,0,0,0,"7",2,"47",0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,841,0.471402275466275,1.50054640925282,1,"right",8.64044989451389,1.50054640925282,"2016",3609,20163609,0.372,0.372,0.372,1,1,"2",11
"24",1,1,1,1,1,0,1,0,2,0,0,1,0,1,0,0,62,1,5,1,1,1,"3",2,"48",0,2,0,0,1,1,0,0,1,0,1,0,0,0,0,3844,0.44624525676216,0.183618980646397,0,"moderate",0.116993556081887,-0.183618980646397,"2016",3610,20163610,0.71,0.71,0.71,1,1,"3",9
"26",1,0,1,0,0,3,1,1,2,1,1,1,0,1,0,1,62,0,1,1,1,1,"4",4,"26",0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,3844,0.399244390994211,0.231886670430973,0,"moderate",-0.127286221250687,-0.231886670430973,"2008",1115,20081115,0.7079,0.7079,0.7079,1,1,"2",12
"27",1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,65,0,5,1,1,1,"5",4,"9",1,2,1,0,1,0,1,0,1,0,0,1,0,1,0,4225,0.62899983728782,0.180440140204073,0,"moderate",0.133081469940881,-0.180440140204073,"2016",3613,20163613,0.395,0.395,0.395,1,1,"4",7
"28",1,1,1,1,1,0,0,0,2,0,0,2,0,1,1,0,43,1,1,0,1,0,"2",2,"6",1,2,1,0,0,0,1,1,1,0,1,0,0,0,1,1849,0.411005682955047,1.45547893858306,1,"right",8.41236622717273,1.45547893858306,"2016",3614,20163614,0.387,0.387,0.387,1,1,"1",9
"29",0,0,1,0,1,3,0,0,1,0,0,2,0,0,1,0,67,0,5,1,1,1,"4",5,"36",0,2,1,0,0,1,0,0,1,0,0,1,0,1,0,4489,0.460180696135201,1.12077083637115,0,"moderate",-4.62587372563351,-1.12077083637115,"2016",3616,20163616,1.552,1.552,1.552,1,1,"2",8
"30",0,1,1,1,1,1,1,0,1,0,0,2,1,1,1,0,35,0,1,1,0,1,"3",2,"47",1,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1225,0.369857458787019,0.0665578147732137,0,"moderate",1.38312276490947,0.0665578147732137,"2016",3618,20163618,0.718,0.718,0.718,1,1,"3",9
"32",0,1,1,1,1,1,1,0,2,0,0,2,0,1,0,0,37,0,6,0,0,0,"2",4,"17",0,2,0,1,0,1,0,0,0,0,0,1,0,0,1,1369,0.503163649578588,1.91648997120591,1,"left",-8.652958799401,-1.91648997120591,"2016",3620,20163620,0.748,0.748,0.748,1,1,"3",10
"34",1,1,1,1,1,0,1,0,2,0,0,2,0,1,0,0,39,0,1,0,0,1,"2",4,"37",0,1,0,0,0,1,0,0,0,0,0,1,0,1,1,1521,0.482463666575849,0.951842455918732,0,"moderate",-3.77093769396837,-0.951842455918732,"2016",3623,20163623,0.796,0.796,0.796,1,1,"4",10
"36",1,1,1,1,1,0,1,0,2,0,0,2,0,1,0,0,42,0,5,1,1,0,"5",4,"1",0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1764,0.407514764065404,0.182534755832863,0,"moderate",0.122480750459962,-0.182534755832863,"2016",3626,20163626,0.811,0.811,0.811,1,1,"4",10
"37",1,1,1,1,1,0,1,0,2,0,0,2,0,1,1,1,51,0,1,0,0,1,"4",4,"17",1,1,1,0,1,0,0,1,0,0,0,1,0,0,0,2601,0.537196536530841,0.431455815815673,0,"moderate",-1.13729325938753,-0.431455815815673,"2008",1116,20081116,1.4297,1.4297,1.4297,1,1,"2",10
"38",0,1,1,1,1,1,1,0,2,0,0,2,1,1,0,0,25,1,4,0,0,1,"1",2,"13",0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,625,0.38364373792083,0.0837509900207406,0,"moderate",0.622419248124911,-0.0837509900207406,"2016",3627,20163627,0.754,0.754,0.754,1,1,"1",10
"39",0,1,1,1,1,1,1,0,1,0,0,2,0,0,0,0,44,0,8,0,0,0,"3",5,"37",0,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1936,0.485680916482349,0.713739695963707,0,"moderate",4.65847003212861,0.713739695963707,"2016",3628,20163628,0.413,0.413,0.413,1,1,"3",9
"40",1,0,1,1,1,1,1,0,1,1,1,2,1,1,0,1,69,0,1,1,1,1,"3",2,"32",1,2,1,0,0,0,0,0,1,0,0,1,0,1,0,4761,0.497224575658872,0.427630639068534,0,"moderate",3.21048988178132,0.427630639068534,"2016",3629,20163629,0.544,0.544,0.544,1,1,"3",11
